ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
SBCR,CMG,CORUMBA INTERNATIONAL,CORUMBA,BRAZIL,-19.012,-57.673
SBCT,CWB,AFONSO PENA,CURITIBA,BRAZIL,-25.528000000000002,-49.176
SBCV,CRQ,CARAVELAS,CARAVELAS,BRAZIL,-17.652,-39.253
SBCX,CXJ,CAMPO DOS BUGRES,CAXIAS DO SUL,BRAZIL,-29.197,-51.188
SBCY,CGB,MARECHAL RONDON,CUIABA,BRAZIL,-15.652999999999999,-56.117
SBCZ,CZS,CRUZEIRO DO SUL,CRUIZIRO DO SUL,BRAZIL,-7.6,-72.76899999999999
SBDN,PPB,PRESIDENTE PRUDENTE,PRESIDENT PRUDENTE,BRAZIL,-22.175,-51.424
SBEG,MAO,EDUARDO GOMES INTERNATIONAL,MANAUS,BRAZIL,-3.0389999999999997,-60.05
SBEK,,JACAREACANGA,JACARE-ACANGA,BRAZIL,-6.233,-57.777
SBEN,,,MACAE,BRAZIL,0.0,0.0
SBES,,SAO PEDRO DA ALDEIA,SAO PEDRO DA ALDEIA,BRAZIL,-22.813000000000002,-42.093
SBET,,,PEDREGULHO,BRAZIL,0.0,0.0
SBFC,FRC,FRANCA,FRANCA,BRAZIL,-20.592,-47.383
SBFI,IGU,CATARATAS INTERNATIONAL,FOZ DO IGUACU,BRAZIL,-25.596,-54.486999999999995
SBFL,FLN,HERCILIO LUZ,FLORIANOPOLIS,BRAZIL,-27.671999999999997,-48.548
SBFN,FEN,FERNANDO DE NORONHA,FERNANDO DO NORONHA,BRAZIL,-3.855,-32.423
SBFT,,FRONTEIRA,FRONTEIRA,BRAZIL,-20.278,-49.187
SBFU,,FURNAS,ALPINOPOLIS,BRAZIL,-20.703000000000003,-46.335
SBFZ,FOR,PINTO MARTINS INTERNATIONAL,FORTALEZA,BRAZIL,-3.7760000000000002,-38.532
SBGA,,,BRASILIA,BRAZIL,0.0,0.0
SBGL,GIG,GALEAO ANTONIO CARLOS JOBIM,RIO DE JANEIRO,BRAZIL,-22.809,-43.244
SBGM,,GUAJARA MIRIM,GUAJARA-MIRIM,BRAZIL,-10.786,-65.285
SBGO,GYN,SANTA GENOVEVA,GOIANIA,BRAZIL,-16.631,-49.222
SBGP,,,MACAE,BRAZIL,0.0,0.0
SBGR,GRU,GUARULHOS,SAO PAULO,BRAZIL,-23.432,-46.468999999999994
SBGS,,PONTA GROSSA,PONTA GROSSA,BRAZIL,-25.184,-50.144
SBGW,,GUARATINGUETA,GUARATINGUETA,BRAZIL,-22.791,-45.205
SBHT,ATM,ALTAMIRA,ALTAMIRA,BRAZIL,-3.2539999999999996,-52.254
SBIC,,ITACOATIARA,ITAITUBA,BRAZIL,-3.127,-58.481
SBIH,,ITAITUBA,ITAITUBA,BRAZIL,-4.242,-56.001000000000005
SBIL,IOS,ILHEUS,ILHEUS,BRAZIL,-14.815999999999999,-39.033
SBIP,IPN,USIMINAS,IPATINGA,BRAZIL,-19.471,-42.488
SBIT,,HIDROELETRICA,ITUMBIARA,BRAZIL,-18.444000000000003,-49.213
